show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,Duration in Mins,First Category,Murder Mystery?
s4,TV Show,Jailbirds New Orleans,N/A,,United States,"Friday, 24 September 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV",,Docuseries,No
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",N/A,,United States,"Friday, 24 September 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",,Crime TV Shows,No
s15,TV Show,Crime Stories: India Detectives,N/A,,United States,"Wednesday, 22 September 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",,British TV Shows,No
s124,TV Show,Luv Kushh,N/A,,United States,"Thursday, 2 September 2021",2012,TV-Y7,1 Season,Kids' TV,,Kids' TV,No
s148,TV Show,How to Be a Cowboy,N/A,,United States,"Wednesday, 1 September 2021",2021,TV-PG,1 Season,Reality TV,,Reality TV,Yes
s182,TV Show,Turning Point: 9/11 and the War on Terror,N/A,,United States,"Wednesday, 1 September 2021",2021,TV-14,1 Season,Docuseries,,Docuseries,No
s219,TV Show,Titletown High,N/A,,United States,"Friday, 27 August 2021",2021,TV-14,1 Season,"Reality TV, Teen TV Shows",,Reality TV,No
s225,TV Show,Motel Makeover,N/A,,United States,"Wednesday, 25 August 2021",2021,TV-14,1 Season,"International TV Shows, Reality TV",,International TV Shows,No
s235,TV Show,Oggy Oggy,N/A,,United States,"Tuesday, 24 August 2021",2021,TV-Y,1 Season,"Kids' TV, TV Comedies",,Kids' TV,No
s243,TV Show,Comedy Premium League,N/A,,United States,"Friday, 20 August 2021",2021,TV-MA,1 Season,"International TV Shows, TV Comedies",,International TV Shows,No
s281,TV Show,Bake Squad,N/A,,United States,"Wednesday, 11 August 2021",2021,TV-PG,1 Season,Reality TV,,Reality TV,No
s321,TV Show,Top Secret UFO Projects: Declassified,N/A,,United States,"Tuesday, 3 August 2021",2021,TV-PG,1 Season,Docuseries,,Docuseries,No
s369,TV Show,Khawatir,N/A,,United States,"Friday, 30 July 2021",2009,TV-14,1 Season,"International TV Shows, Reality TV",,International TV Shows,No
s370,TV Show,Myth & Mogul: John DeLorean,N/A,,United States,"Friday, 30 July 2021",2021,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries",,British TV Shows,No
s380,TV Show,Tattoo Redo,N/A,,United States,"Wednesday, 28 July 2021",2021,TV-MA,1 Season,Reality TV,,Reality TV,No
s431,TV Show,Sexy Beasts,N/A,,United States,"Wednesday, 21 July 2021",2021,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV",,British TV Shows,No
s466,TV Show,Heist,N/A,,United States,"Wednesday, 14 July 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,No
s467,TV Show,My Unorthodox Life,N/A,,United States,"Wednesday, 14 July 2021",2021,TV-MA,1 Season,Reality TV,,Reality TV,No
s491,TV Show,Elize Matsunaga: Once Upon a Crime,N/A,,United States,"Thursday, 8 July 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",,Crime TV Shows,No
s498,TV Show,Cat People,N/A,,United States,"Wednesday, 7 July 2021",2021,TV-14,1 Season,Docuseries,,Docuseries,No
s550,TV Show,Big Timber,N/A,,United States,"Friday, 2 July 2021",2020,TV-14,1 Season,"International TV Shows, Reality TV",,International TV Shows,No
s621,TV Show,Droppin' Cash: Los Angeles,N/A,,United States,"Wednesday, 30 June 2021",2019,TV-MA,1 Season,Reality TV,,Reality TV,No
s654,TV Show,This Is Pop,N/A,,United States,"Tuesday, 22 June 2021",2021,TV-MA,1 Season,"Docuseries, International TV Shows",,Docuseries,No
s711,TV Show,Penguin Town,N/A,,United States,"Wednesday, 16 June 2021",2021,TV-PG,1 Season,"Docuseries, Science & Nature TV",,Docuseries,No
s749,TV Show,"Fresh, Fried & Crispy",N/A,,United States,"Wednesday, 9 June 2021",2021,TV-PG,1 Season,Reality TV,,Reality TV,No
s762,TV Show,Human: The World Within,N/A,,United States,"Friday, 4 June 2021",2021,TV-PG,1 Season,"Docuseries, Science & Nature TV",,Docuseries,No
